,0,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,1.93,2.46,2.73,3.06,3.44,3.59,3.45,3.47,3.62,3.55,3.02,1.37,2.55,2.43,0.0,0.0,0.0
35,0.0,2.38,3.04,3.37,3.78,4.24,4.43,4.25,4.28,4.47,4.38,3.73,1.69,2.97,2.83,0.0,0.0,0.0
40,0.0,2.89,3.71,4.11,4.62,5.19,5.42,5.19,5.23,5.46,5.35,4.56,2.07,3.4,3.24,0.0,0.0,0.0
43,0.0,3.05,4.21,4.63,5.2,5.84,6.1,5.85,5.89,6.15,6.03,5.13,2.33,3.65,3.48,0.0,0.0,0.0
44,0.0,3.11,4.38,4.82,5.41,5.84,6.1,6.08,6.12,6.4,6.27,5.34,2.42,3.73,3.56,0.0,0.0,0.0
45,0.0,3.17,4.57,5.01,5.63,5.84,6.1,6.33,6.37,6.4,6.37,5.56,2.52,3.82,3.64,0.0,0.0,0.0
48,0.0,4.01,5.18,5.65,5.92,6.07,6.45,6.76,6.69,6.62,6.6,6.26,2.84,4.07,3.88,0.0,0.0,0.0
49,0.0,4.01,5.4,5.66,5.94,6.15,6.57,6.83,6.79,6.7,6.67,6.52,2.96,4.16,3.96,0.0,0.0,0.0
50,0.0,4.01,5.43,5.67,5.96,6.23,6.69,6.91,6.82,6.77,6.75,6.66,3.08,4.24,4.04,0.0,0.0,0.0
60,0.0,4.29,5.24,6.84,6.73,6.53,6.92,6.98,7.14,7.22,7.28,7.38,4.76,5.09,4.85,0.0,0.0,0.0
70,0.0,4.35,5.78,6.76,7.03,6.98,7.33,7.55,7.74,7.86,8.0,8.11,8.11,5.94,5.66,0.0,0.0,0.0
72,0.0,4.39,5.79,6.8,7.04,7.04,7.4,7.65,7.85,7.97,8.14,8.26,7.51,6.11,5.82,0.0,0.0,0.0
80,0.0,4.53,5.84,6.96,7.08,7.26,7.69,8.06,8.31,8.42,8.71,8.84,9.11,6.79,6.47,0.0,0.0,0.0
90,0.0,4.2,5.62,6.64,7.18,7.53,7.92,8.7,9.0,9.66,9.69,9.57,9.58,7.64,7.28,0.0,0.0,0.0
100,0.0,4.2,5.79,6.92,7.54,7.9,8.83,9.48,10.5,11.57,11.76,11.84,10.44,8.49,8.09,0.0,0.0,0.0
110,0.0,4.13,5.68,6.55,7.36,8.02,9.27,10.48,11.42,11.99,12.13,11.75,11.3,9.34,8.9,0.0,0.0,0.0
120,0.0,3.59,5.44,6.6,7.18,7.87,9.27,10.68,11.38,11.69,11.6,11.76,11.52,10.19,9.71,0.0,0.0,0.0
130,0.0,2.98,4.71,6.24,7.03,7.69,8.53,9.91,10.87,11.5,12.17,11.45,12.3,11.03,10.52,0.0,0.0,0.0
135,0.0,2.95,4.6,5.94,6.83,7.54,8.35,9.57,10.77,11.8,12.52,12.58,12.69,11.46,10.92,0.0,0.0,0.0
140,0.0,2.56,4.48,5.64,6.63,7.4,8.17,9.23,10.66,12.1,12.86,13.71,13.08,11.88,11.32,0.0,0.0,0.0
144,0.0,2.29,4.48,5.64,6.53,7.3,8.05,9.05,10.6,11.95,12.79,13.66,13.39,12.22,11.65,0.0,0.0,0.0
145,0.0,2.23,4.42,5.64,6.51,7.28,8.02,9.01,10.59,11.91,12.77,13.64,13.47,12.31,11.73,0.0,0.0,0.0
150,0.0,1.96,4.15,5.3,6.39,7.16,7.87,8.79,10.51,11.72,12.68,13.58,13.86,12.73,12.13,0.0,0.0,0.0
151,0.0,1.92,4.1,5.24,6.39,7.16,7.87,8.78,10.51,11.72,12.67,13.57,13.8,12.82,12.21,0.0,0.0,0.0
153,0.0,1.86,4.02,5.13,6.25,7.0,7.86,8.75,10.5,11.72,12.65,13.56,13.69,12.99,12.38,0.0,0.0,0.0
155,0.0,1.79,3.94,5.02,6.12,6.86,7.7,8.72,10.49,11.72,12.63,13.55,13.59,13.16,12.54,0.0,0.0,0.0
160,0.0,1.65,3.77,4.81,5.86,6.56,7.36,8.33,10.14,11.1,12.05,12.81,13.31,13.58,12.94,0.0,0.0,0.0
161,0.0,1.64,3.74,4.77,5.81,6.51,7.3,8.26,10.05,11.0,11.95,12.7,13.3,13.58,13.02,0.0,0.0,0.0
165,0.0,1.59,3.64,4.65,5.65,6.33,7.09,8.02,9.74,10.66,11.58,12.31,13.26,13.28,13.35,0.0,0.0,0.0
169,0.0,1.54,3.56,4.55,5.52,6.18,6.92,7.83,9.49,10.39,11.28,11.99,13.01,13.06,13.67,0.0,0.0,0.0
170,0.0,1.54,3.55,4.52,5.49,6.15,6.89,7.78,9.43,10.33,11.21,11.92,12.96,13.02,13.67,0.0,0.0,0.0
180,0.0,1.47,3.44,4.39,5.31,5.95,6.65,7.51,9.05,9.91,10.76,11.44,12.12,12.18,12.79,0.0,0.0,0.0
