step,latitude,longitude,time,heightAboveGround,valid_time,u10,v10
0 days 03:00:00,45.25,0.25,2025-06-04,10.0,2025-06-04 03:00:00,7.9125,-3.6625004
0 days 03:00:00,45.25,354.25,2025-06-04,10.0,2025-06-04 03:00:00,7.1625,-3.3500004
0 days 03:00:00,45.25,354.5,2025-06-04,10.0,2025-06-04 03:00:00,5.7875,-2.6625004
0 days 03:00:00,45.25,354.75,2025-06-04,10.0,2025-06-04 03:00:00,5.475,-2.4750004
0 days 03:00:00,45.25,355.0,2025-06-04,10.0,2025-06-04 03:00:00,5.2875,-2.7250004
0 days 03:00:00,45.25,355.25,2025-06-04,10.0,2025-06-04 03:00:00,4.975,-3.3500004
0 days 03:00:00,45.25,355.5,2025-06-04,10.0,2025-06-04 03:00:00,4.725,-3.8500004
0 days 03:00:00,45.25,355.75,2025-06-04,10.0,2025-06-04 03:00:00,3.725,-4.9750004
0 days 03:00:00,45.25,356.0,2025-06-04,10.0,2025-06-04 03:00:00,5.225,-3.7250004
0 days 03:00:00,45.25,356.25,2025-06-04,10.0,2025-06-04 03:00:00,7.9125,1.2749996
0 days 03:00:00,45.25,356.5,2025-06-04,10.0,2025-06-04 03:00:00,8.1,3.9624996
0 days 03:00:00,45.25,356.75,2025-06-04,10.0,2025-06-04 03:00:00,8.35,4.4624996
0 days 03:00:00,45.25,357.0,2025-06-04,10.0,2025-06-04 03:00:00,8.225,4.3374996
0 days 03:00:00,45.25,357.25,2025-06-04,10.0,2025-06-04 03:00:00,8.2875,3.7749996
0 days 03:00:00,45.25,357.5,2025-06-04,10.0,2025-06-04 03:00:00,7.2875,3.7749996
0 days 03:00:00,45.25,357.75,2025-06-04,10.0,2025-06-04 03:00:00,6.6625,3.8374996
0 days 03:00:00,45.25,358.0,2025-06-04,10.0,2025-06-04 03:00:00,6.85,3.5249996
0 days 03:00:00,45.25,358.25,2025-06-04,10.0,2025-06-04 03:00:00,6.725,2.8999996
0 days 03:00:00,45.25,358.5,2025-06-04,10.0,2025-06-04 03:00:00,5.35,2.5249996
0 days 03:00:00,45.25,358.75,2025-06-04,10.0,2025-06-04 03:00:00,1.2875,2.0249996
0 days 03:00:00,45.25,359.0,2025-06-04,10.0,2025-06-04 03:00:00,1.4125,1.9624996
0 days 03:00:00,45.25,359.25,2025-06-04,10.0,2025-06-04 03:00:00,1.1,0.7124996
0 days 03:00:00,45.25,359.5,2025-06-04,10.0,2025-06-04 03:00:00,2.1,-0.41250038
0 days 03:00:00,45.25,359.75,2025-06-04,10.0,2025-06-04 03:00:00,1.725,-0.28750038
0 days 03:00:00,45.25,360.0,2025-06-04,10.0,2025-06-04 03:00:00,0.975,-0.10000038
0 days 03:00:00,45.5,0.25,2025-06-04,10.0,2025-06-04 03:00:00,7.725,-2.6625004
0 days 03:00:00,45.5,354.25,2025-06-04,10.0,2025-06-04 03:00:00,6.975,-3.2250004
0 days 03:00:00,45.5,354.5,2025-06-04,10.0,2025-06-04 03:00:00,6.5375,-3.1000004
0 days 03:00:00,45.5,354.75,2025-06-04,10.0,2025-06-04 03:00:00,5.975,-2.9125004
0 days 03:00:00,45.5,355.0,2025-06-04,10.0,2025-06-04 03:00:00,5.5375,-3.2250004
0 days 03:00:00,45.5,355.25,2025-06-04,10.0,2025-06-04 03:00:00,5.1,-3.3500004
